Intensity,Duration,ID
104586,399,1
91810,339,1
36401,356,1
402,206,1
102794,393,1
106977,370,1
102102,387,1
85069,395,1
42806,406,1
91194,470,1
125149,397,1
21360,370,1
34592,394,1
101405,410,1
128893,402,1
121946,391,1
113499,362,1
113225,418,1
225359,718,2
129376,416,2
176024,558,2
192198,671,2
118676,666,2
190523,680,2
153172,637,2
227556,667,2
231318,692,2
251970,741,2
243155,729,2
243884,663,2
263788,796,2
148536,702,2
214280,750,2
113078,768,2
189935,760,2
225232,877,2
204193,784,2
147038,826,2
177429,670,2
203574,736,2
154154,687,2
179206,605,2
217523,562,2
210757,693,2
222684,744,2
59779,1274,3
226,456,3
102,205,3
4032,456,3
112929,2053,3
77146,2194,3
75398,2438,3
5764,1439,3
7163,389,3
9027,869,3
100,202,3
17867,1093,3
4357,781,3
5529,460,3
3555,1452,3
102,206,3
169,341,3
24977,1435,3
4140,661,3
62155,1208,3
3331,393,3
103,207,3
39263,1468,3
108184,1383,4
25311,1116,4
362618,2240,4
711971,1955,4
828194,1996,4
845366,2344,4
1204540,3161,4
908,206,4
101,204,4
1249940,3228,4
102,206,4
523987,2513,4
100,202,4
579296,2708,4
